date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-03-12,U001,3079923.74,3155595.21,46305324.31000003,2799577.1999999997,2601316.4576666667,823192.8446026003,833244.438323691,2400415.154285714,2595040.716333334,0.9975874748668747,2794134.3200000077,188272.2400000021,0.5933575693123609,1,3,0
2019-03-13,U001,3219039.14,2783195.85,46741167.600000024,2767098.9,2638300.5909999995,797504.4375944519,835283.7741745971,2529006.458571429,2475149.94,0.9381607040696753,1666647.0899999887,4894519.529999994,0.590546401465746,2,3,0
2019-03-14,U001,3562383.85,2768731.19,47534820.26000002,2781068.511428572,2683982.669666667,812474.5195629086,847416.7748170113,2527703.744285714,2427005.931666666,0.9042554406538268,1773553.3699999899,7709302.140000001,0.5903518031520864,3,3,0
2019-03-15,U001,3499917.05,3430554.82,47604182.49000004,2870166.0814285716,2682106.280333333,857594.2290836925,845478.960454677,2373602.9657142856,2465820.2023333334,0.9193596168854579,3475941.8100000024,6488582.3400000185,0.5916268473905487,4,3,0
2019-03-16,U001,1866971.95,0.0,49471154.44000003,2867589.9985714285,2656913.5316666667,861066.7705473722,858468.6968162549,2368011.214285714,2379704.6076666666,0.8956650562029739,3497051.4899999946,8316267.720000014,0.6206594462631615,5,3,1
2019-03-17,U001,1104686.05,0.0,50575840.49000004,2822191.878571429,2626165.268666667,953384.8339251953,897439.0911888934,2368011.214285714,2278090.2210000004,0.8674588184454256,3179264.650000021,10442251.430000022,0.6419479268045452,6,3,1
2019-03-18,U001,3049565.24,5760319.09,47865086.640000045,2768926.717142857,2673533.8716666666,924231.1048022638,880304.473716297,2556913.737142857,2470100.857333333,0.9239085704171334,1484090.8600000143,6102990.430000022,0.596776762362608,0,3,0
2019-03-19,U001,2896601.97,4588584.63,46173103.98000005,2742737.8928571427,2745614.1333333333,916515.1072448224,800990.6970776734,2761626.5114285713,2623053.6783333337,0.955361369424769,-132220.3299999833,3676813.650000021,0.5605680154812729,1,3,0
2019-03-20,U001,2922467.78,3331170.84,45764400.92000005,2700370.555714286,2762262.9046666664,897484.8806855038,799242.781441145,2839908.652857143,2733302.4739999995,0.9895156863534822,-976766.6799999774,868812.9200000167,0.5522573640942966,2,3,0
2019-03-21,U001,3164146.64,3129124.05,45799423.51000002,2643479.5257142857,2772796.544666666,844811.6040596757,802489.4254463855,2891393.347142857,2586186.447666667,0.9326996791888916,-1735396.75,5598302.909999996,0.550580407087481,3,3,0
